,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,other_info
95,"[[0], [3], [3, 3, 0, 1, 0, 3, 0, 3, 1, 1, 4, 1], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
96,"[[0], [3], [3], [], [2, 0, 2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
97,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
98,"[[0], [3], [], [], [2, 0, 0, 2, 1, 2, 2], [3]]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
99,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
100,"[[0], [3, 0, 2, 4, 0, 3, 3, 0, 3, 1, 3], [2, 1, 4], [2, 3], [2, 1, 0, 2, 0], [5]]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
101,"[[0], [3], [], [2], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
102,"[[0], [2, 2, 3], [], [0, 4], [0], []]",2.3247494288043398,5,sin(_inv_(x[0])),"[1, 3, 0, 2, 1, 0]",sin(_inv_(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
103,"[[0], [1, 3, 2, 3], [1], [4], [2, 1], [2]]",2.3259973396303293,6,(Constant-_inv_(x[2])),"[1, 4, 1, 1, 2, 1]",(0.5942250656041724-_inv_(x[2])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
104,"[[0], [2, 3], [], [0], [2], []]",2.3271375567438226,4,sin(Constant),"[1, 2, 0, 1, 1, 0]",sin(0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
